,Watts,6-pin,8-pin
Radeon RX 6900 XT CF,1100,0,4
Radeon RX 6900 XT,750,0,2
Radeon RX 6800 XT CF,1000,0,4
Radeon RX 6800 XT,700,0,2
Radeon RX 6800,650,0,2
Radeon RX 6700 XT,600,0,1
Radeon RX 6700,550,0,1
Radeon RX 6600 XT,550,0,1
Radeon VII 16Gb CF,1000,0,4
Radeon VII 16Gb,650,0,2
RX 5700 XT CF,750,2,2
RX 5700 XT,550,1,1
RX 5700,500,1,1
RX 5600 XT CF,650,0,2
RX 5600 XT,500,0,1
RX 5600,480,0,1
RX 5500 XT,450,0,1
RX 5500,430,0,1
Radeon VII 16Gb CF,1000,0,4
Radeon VII 16Gb (RX Vega),650,0,2
RX Vega 64 Liquid Ed. CF,1500,0,4
RX Vega 64 Liquid Ed.,900,0,2
RX Vega 64 CF,1100,0,4
RX Vega 64,700,0,2
RX Vega 56 CF,850,0,4
RX Vega 56,600,0,2
RX 590 4x CF,1350,4,4
RX 590 3x CF,1100,3,3
RX 590 CF,850,2,2
RX 590,600,1,1
RX 580 4x CF,1250,4,4
RX 580 3x CF,1000,3,3
RX 580 CF,800,2,2
RX 580,550,1,1
RX 570 CF,700,0,2
RX 570,500,0,1
RX 560 CF,500,0,0
RX 560,400,0,0
RX 550,350,0,0
550,350,0,0
RX 540,350,0,0
RX 480 4x CF,950,4,0
RX 480 3x CF,800,3,0
RX 480 CF,650,2,0
RX 480,500,1,0
RX 470 CF,600,2,0
RX 470,450,1,0
RX 460 CF,450,0,0
RX 460,380,0,0
Pro Duo 8Gb,700,0,3
R9 Fury X 4x CF,1600,0,8
R9 Fury X 3x CF,1300,0,6
R9 Fury X CF,1000,0,4
R9 Fury X,650,0,2
R9 Fury 4x CF,1500,0,8
R9 Fury 3x CF,1200,0,6
R9 Fury CF,950,0,4
R9 Fury,620,0,2
R9 390X 4x CF,1750,4,4
R9 390X 3x CF,1450,3,3
R9 390X CF,1100,2,2
R9 390X,700,1,1
R9 390 4x CF,1600,4,4
R9 390 3x CF,1300,3,3
R9 390 CF,1000,2,2
R9 390,650,1,1
R9 380X CF,750,4,0
R9 380X,550,2,0
R9 380 CF,750,4,0
R9 380,550,2,0
R9 Nano 4x CF,1200,0,4
R9 Nano 3x CF,1000,0,3
R9 Nano CF,750,0,2
R9 Nano,550,0,1
R7 370 CF,620,2,0
R7 370,450,1,0
R7 360 CF,600,2,0
R7 360,430,1,0
R9 295X2 CF,1600,0,4
R9 295X2,1000,0,2
R9 290X 4x CF,1600,4,4
R9 290X 3x CF,1300,3,3
R9 290X CF,1000,2,2
R9 290X,650,1,1
R9 290 4x CF,1600,4,4
R9 290 3x CF,1300,3,3
R9 290 CF,1000,2,2
R9 290,650,1,1
R9 285 CF,750,4,0
R9 285,520,2,0
R9 280X 4x CF,1500,4,4
R9 280X 3x CF,1200,3,3
R9 280X CF,900,2,2
R9 280X,600,1,1
R9 280 4x CF,1300,4,4
R9 280 3x CF,1050,3,3
R9 280 CF,800,2,2
R9 280,550,1,1
R9 270X CF,700,4,0
R9 270X,500,2,0
R9 270 CF,620,2,0
R9 270,450,1,0
R9 260 CF,600,2,0
R9 260,430,1,0
R9 255 CF,550,2,0
R9 255,400,1,0
R7 265 CF,620,2,0
R7 265,450,1,0
R7 260X CF,620,2,0
R7 260X,450,1,0
R7 260 CF,620,2,0
R7 260,450,1,0
R7 250X CF,550,2,0
R7 250X,430,1,0
R7 250 CF,450,0,0
R7 250,380,0,0
R7 240 CF,400,0,0
R7 240,350,0,0
R5 240 CF,400,0,0
R5 240,350,0,0
R5 235X CF,400,0,0
R5 235X,330,0,0
R5 235 CF,380,0,0
R5 235,330,0,0
R5 230 CF,380,0,0
R5 230,300,0,0
R5 220 CF,350,0,0
R5 220,300,0,0
HD8970 4xCF,1300,4,4
HD8970 3x CF,1050,3,3
HD8970 CF,800,2,2
HD8970,550,1,1
HD8950 4x CF,1200,4,0
HD8950 3x CF,950,2,0
HD8950 CF,750,4,0
HD8950,520,2,0
HD8670,330,0,0
HD8570,300,0,0
HD7990 CF,1200,0,6
HD7990,700,0,3
HD7970 4x CF,1300,4,4
HD7970 3x CF,1050,3,3
HD7970 CF,800,2,2
HD7970,550,1,1
HD7950 4x CF,1100,8,0
HD7950 3x CF,900,6,0
HD7950 CF,700,4,0
HD7950,500,2,0
HD7870 CF,600,4,0
HD7870,500,2,0
HD7850 CF,575,2,0
HD7850,450,1,0
HD7790 CF,575,2,0
HD7790,430,1,0
HD7770 CF,520,2,0
HD7770,430,1,0
HD7750,350,0,0
HD7730,350,0,0
HD6990 CF,1100,0,4
HD6990,700,0,2
HD6970 4x CF,1300,4,4
HD6970 3x CF,1050,3,3
HD6970 CF,800,2,2
HD6970,550,1,1
HD6950 4x CF,1050,8,0
HD6950 3x CF,875,6,0
HD6950 CF,700,4,0
HD6950,500,2,0
HD6870 X2 CF,900,0,4
HD6870 X2,600,0,2
HD6870 OC (1000Mhz) CF,700,4,0
HD6870 OC (1000Mhz),550,2,0
HD6870 CF,600,4,0
HD6870,500,2,0
HD6850 OC (950Mhz) CF,650,2,0
HD6850 OC (950Mhz),500,1,0
HD6850 CF,550,2,0
HD6850,450,1,0
HD6790 CF,600,4,0
HD6790,500,2,0
HD6770 CF,550,2,0
HD6770,450,1,0
HD6750 CF,520,2,0
HD6750,430,1,0
HD6670,400,0,0
HD6570,400,0,0
HD6450,400,0,0
HD5970 4Gb CF,1150,0,4
HD5970 4Gb 900/1200,750,0,2
HD5970 CF,850,2,2
HD5970,650,1,1
HD5870 2Gb 4x CF,1250,4,4
HD5870 2Gb 3x CF,1050,3,3
HD5870 2Gb CF,800,2,2
HD5870 2Gb,575,1,1
HD5870 OC (1000Mhz) 4x CF,1200,8,0
HD5870 OC (1000Mhz) 3x CF,950,6,0
HD5870 OC (1000Mhz) CF,750,4,0
HD5870 OC (1000Mhz),550,2,0
HD5870 4x CF,1050,8,0
HD5870 3x CF,850,6,0
HD5870 CF,650,4,0
HD5870,500,2,0
HD5850 OC (1000Mhz) 4x CF,1050,8,0
HD5850 OC (1000Mhz) 3x CF,850,6,0
HD5850 OC (1000Mhz) CF,700,4,0
HD5850 OC (1000Mhz),550,2,0
HD5850 4x CF,875,8,0
HD5850 3x CF,750,6,0
HD5850 CF,600,4,0
HD5850,500,2,0
HD5830 4x CF,900,8,0
HD5830 3x CF,750,6,0
HD5830 CF,600,4,0
HD5830,500,2,0
HD5770 4x CF,750,4,0
HD5770 3x CF,650,3,0
HD5770 CF,550,2,0
HD5770,425,1,0
HD5750 4x CF,620,4,0
HD5750 3x CF,550,3,0
HD5750 CF,500,2,0
HD5750,400,1,0
HD5670 512Mb/1Gb 3xCF,500,0,0
HD5670 512Mb/1Gb CF,450,0,0
HD5670 512Mb/1Gb,400,0,0
HD5570,350,0,0
HD5550,350,0,0
HD5450,330,0 ,0
HD4970 CF,600,4,0
HD4970,500,2,0
HD4890 3x CF,850,6,0
HD4890 CF,700,4,0
HD4890,600,2,0
HD4870 X2 CF,1000,2,2
HD4870 X2,650,1,1
HD4870 4x CF,1000,8,0
HD4870 3x CF,850,6,0
HD4870 CF,600,4,0
HD4870,500,2,0
HD4850 X2 2Gb CF,700,2,2
HD4850 X2 2Gb,550,1,1
D4850 X2 1Gb CF,650,2,2
HD4850 X2 1Gb,550,1,1
HD4850 CF,550,2,0
HD4850,450,1,0
HD4830 CF,550,2,0
HD4830,450,1,0
HD4770 CF,550,2,0
HD4770,450,1,0
HD4670 CF,550,0,0
HD4670,400,0,0
HD4650 CF,550,0,0
HD4650,400,0,0
HD4550 CF,350,0,0
HD4550,300,0,0
HD4350 CF,350,0,0
HD4350,300,0,0
HD3870 X2 CF,750,2,2
HD3870 X2,550,1,1
HD3870 CF,550,2,0
HD3870,450,1,0
HD3850 CF,550,2,0
HD3670 CF,550,0,0
HD3670,400,0,0
HD3650 CF,550,0,0
HD3650,400,0,0
HD3470 CF,400,0,0
HD3470,350,0,0
HD3450 CF,350,0,0
HD3450,300,0,0
RTX TITAN SLI,900,0,4
RTX TITAN,600,0,2
GTX TITAN Z SLI,1200,0,4
GTX TITAN Z,750,0,2
GTX TITAN X 4x SLI,1350,4,4
GTX TITAN X 3x SLI,1100,3,3
GTX TITAN X SLI,850,2,2
GTX TITAN X,600,1,1
GTX TITAN BLACK 4x SLI,1350,4,4
GTX TITAN BLACK 3x SLI,1100,3,3
GTX TITAN BLACK SLI,850,2,2
GTX TITAN BLACK,600,1,1
GTX TITAN 4x SLI,1350,4,4
GTX TITAN 3x SLI,1100,3,3
GTX TITAN SLI,850,2,2
GTX TITAN,600,1,1
RTX 3090 SLI,1100,0,4
RTX 3090,750,0,2
GTX 3080 Ti,750,0,2
GTX 3080,700,0,2
GTX 3070 Ti,600,0,1
GTX 3070,600,0,1
GTX 3060 Ti,575,0,1
GTX 3060,550,0,1
GTX 3050 Ti,,,
GTX 3050,,,
RTX 2080 Ti F.E. SLI,900,0,4
RTX 2080 Ti F.E.,600,0,2
RTX 2080 Ti SLI,900,0,4
RTX 2080 Ti,600,0,2
RTX 2080 Super SLI,900,2,2
RTX 2080 F.E. SLI,900,2,2
RTX 2080 SLI,800,2,2
RTX 2080 F.E.,600,1,1
RTX 2080 Super,600,1,1
RTX 2080,550,1,1
RTX 2070 Super SLI,750,0,2
RTX 2070 Super,520,0,1
RTX 2070 F.E.,520,0,1
RTX 2070,500,0,1
RTX 2060 Super,500,0,1
RTX 2060 F.E.,480,0,1
RTX 2060,480,0,1
GTX 1660 Ti,430,0,1
GTX 1660 Super,430,0,1
GTX 1660,430,0,1
GTX 1650 Super,400,1,0
GTX 1650,380,0,0
GTX 1080 Ti SLI,850,2,2
GTX 1080 Ti,600,1,1
GTX 1080 SLI,750,0,2
GTX 1080,520,0,1
GTX 1070 Ti SLI,775,2,2
GTX 1070 Ti,550,1,1
GTX 1070 SLI,700,0,2
GTX 1070,500,0,1
GTX 1060 6Gb,450,1,0
GTX 1060 3Gb,450,1,0
GTX 1050 Ti OC 1470 Mhz,350,1,0
GTX 1050 Ti,320,0,0
GTX 1050 OC 1530 Mhz,350,1,0
GTX 1050,320,0,0
GTX 980 Ti 4x SLI,1350,4,4
GTX 980 Ti 3x SLI,1100,3,3
GTX 980 Ti SLI,850,2,2
GTX 980 Ti,600,1,1
GTX 980 4x SLI,1150,8,0
GTX 980 3x SLI,950,6,0
GTX 980 SLI,750,4,0
GTX 980,520,2,0
GTX 970 3x SLI,850,6,0
GTX 970 SLI,700,4,0
GTX 970,500,2,0
GTX 960 3x SLI,750,3,0
GTX 960 SLI,600,2,0
GTX 960,430,1,0
GTX 950 SLI,500,2,0
GTX 950,380,1,0
GTX 780 Ti 4x SLI,1400,4,4
GTX 780 Ti 3x SLI,1150,3,3
GTX 780 Ti SLI,875,2,2
GTX 780 Ti,600,1,1
GTX 780 4x SLI,1350,4,4
GTX 780 3x SLI,1100,3,3
GTX 780 SLI,850,2,2
GTX 780,575,1,1
GTX 770 3x SLI,1100,3,3
GTX 770 SLI,850,2,2
GTX 770,575,1,1
GTX 760 Ti 3xSLI,900,6,0
GTX 760 Ti SLI,700,4,0
GTX 760 Ti,500,2,0
GTX 760 3x SLI,900,6,0
GTX 760 SLI,700,4,0
GTX 760,500,2,0
GTX 760 192bits,450,1,0
GTX 750 Ti,350,0,0
GTX 750,350,0,0
GTX 745,350,0,0
GTX 740 GDDR5,380,1,0
GTX 740,350,0,0
GTX 730 GDDR5,300,0,0
GTX 730 DDR3 128bits,300,0,0
GTX 730 DDR3 64bits,300,0,0
GTX 720,300,0,0
GTX 710,300,0,0
GTX 705,300,0,0
GTX 690 SLI,950,0,4
GTX 690,620,0,2
GTX 680 4x SLI,1250,8,0
GTX 680 3x SLI,1050,6,0
GTX 680 SLI,800,4,0
GTX 680,550,2,0
GTX 670 4x SLI,1200,8,0
GTX 670 3x SLI,1000,6,0
GTX 670 SLI,750,4,0
GTX 670,500,2,0
GTX 660 Ti 4x SLI,1000,8,0
GTX 660 Ti 3x SLI,800,6,0
GTX 660 Ti SLI,620,4,0
GTX 660 Ti,450,2,0
GTX 660 4x SLI,875,4,0
GTX 660 3x SLI,750,3,0
GTX 660 SLI,600,2,0
GTX 660,430,1,0
GTX 650 Ti Boost SLI,600,2,0
GTX 650 Ti Boost,450,1,0
GTX 650 Ti,430,1,0
GTX 650,400,1,0
GT 645,400,0,0
GT 640 OC (1000Mhz),380,1,0
GT 640,350,0,0
GT 635,330,0,0
GT 630,330,0,0
GT 620,300,0,0
GT 610,300,0,0
605,300,0,0
GTX 590 SLI,1100,0,4
GTX 590,700,0,2
GTX 580 OC (900) 4x SLI,1650,4,4
GTX 580 OC (900) 3x SLI,1300,3,3
GTX 580 OC (900) SLI,1000,2,2
GTX 580 OC (900),650,1,1
GTX 580 4x SLI,1500,4,4
GTX 580 3x SLI,1200,3,3
GTX 580 SLI,900,2,2
GTX 580,600,1,1
GTX 570 4x SLI,1300,8,0
GTX 570 3x SLI,1050,6,0
GTX 570 SLI,800,4,0
GTX 570,550,2,0
GTX 560 Ti SLI,650,4,0
GTX 560 Ti,500,2,0
GTX 560 SLI,700,4,0
GTX 560,520,2,0
GTX 555 SLI,575,4,0
GTX 555,430,2,0
GTX 550 Ti SLI,500,2,0
GTX 550 Ti,400,1,0
GT 545 (GDDR5) SLI,450,2,0
GT 545 (GDDR5),380,1,0
GT 545 (DDR3) SLI,400,0,0
GT 545 (DDR3),350,0,0
GT 530,330,0,0
GT 520,300,0,0
510,300,0,0
GTX 480 4x SLI,1500,4,4
GTX 480 3x SLI,1200,3,3
GTX 480 SLI,900,2,2
GTX 480,600,1,1
GTX 470 OC (800Mhz) 4x SLI,1350,8,0
GTX 470 OC (800Mhz) 3x SLI,1050,6,0
GTX 470 OC (800Mhz) SLI,850,4,0
GTX 470 OC (800Mhz),600,2,0
GTX 470 4x SLI,1200,8,0
GTX 470 3x SLI,950,6,0
GTX 470 SLI,750,4,0
GTX 470,550,2,0
GTX 465 4x SLI,1100,8,0
GTX 465 3x SLI,920,6,0
GTX 465 SLI,750,4,0
GTX 465,550,2,0
GTX 460 OC (930Mhz) SLI,675,4,0
GTX 460 OC (930Mhz),550,2,0
GTX 460 1Gb/768Mb/SE SLI,620,4,0
GTX 460 1Gb/768Mb/SE,500,2,0
GTS 450 OC (930Mhz) SLI,575,2,0
GTS 450 OC (930Mhz),450,1,0
GTS 450 SLI,520,2,0
GTS 450,400,1,0
GT 440,330,0,0
GT 430,330,0,0
GT 420,300,0,0
405,300,0,0
GT 340,350,0,0
GT 330,350,0,0
GT 320,300,0,0
315,300,0,0
310,300,0,0
GTX 295 SLI,875,2,2
GTX 295,650,1,1
GTX 285 4x SLI,1200,8,0
GTX 285 3x SLI,950,6,0
GTX 285 SLI,750,4,0
GTX 285,520,2,0
GTX 280 4x SLI,1250,4,4
GTX 280 3x SLI,1000,3,3
GTX 280 SLI,750,2,2
GTX 280,550,1,1
GTX 275 4x SLI,1200,8,0
GTX 275 3x SLI,950,6,0
GTX 275 SLI,750,4,0
GTX 275,520,2,0
GTX 260 4x SLI,1000,8,0
GTX 260 3x SLI,850,6,0
GTX 260 SLI,650,4,0
GTX 260,500,2,0
GTS 250 512Mb/1Gb 4xSLI,920,4,0
GTS 250 512Mb/1Gb 3xSLI,750,3,0
GTS 250 512Mb/1Gb SLI,600,2,0
GTS 250 512Mb,450,1,0
GTS 240,450,1,0
GT 240,350,0,0
GT 220,300,0,0
210,300,0,0
205,300,0,0
GTS 150 3X SLI,750,6,0
GTS 150 SLI,600,4,0
GTS 150,450,2,0
GT 130 SLI,430,0,0
GT 130,350,0,0
GT 120 SLI,400,0,0
GT 120,330,0,0
G100,300,0,0
9800 GX2 SLI,750,2,2
9800 GX2,575,1,1
9800 GTX+ 3x SLI,750,6,0
9800 GTX+ SLI,600,4,0
9800 GTX+,450,2,0
9800 GTX 3x SLI,750,6,0
9800 GTX SLI,600,4,0
9800 GTX,450,2,0
9800 GT,400,1,0
9600 GT 650Mhz SLI,500,2,0
9600 GT 650Mhz,400,1,0
9600 GT 600Mhz SLI,400,0,0
9600 GT 600Mhz,300,0,0
9600 GSO 512Mb,520,2,0
9600 GSO 512Mb (a),400,1,0
9600 GSO SLI,520,2,0
9600 GSO,400,1,0
9500 GT SLI,400,0,0
9500 GT,350,0,0
9400 GT SLI,350,0,0
9400 GT,300,0,0
8800 ULTRA 3x SLI,950,6,0
8800 ULTRA SLI,750,4,0
8800 ULTRA,575,2,0
8800 GTX SLI,600,4,0
8800 GTX,450,2,0
8800 GTS SLI,600,2,0
8800 GTS,500,1,0
8800 GT SLI,550,2,0
8800 GT,450,1,0
8600 GTS SLI,500,2,0
8600 GTS,500,1,0
8600 GT SLI,450,0,0
8600 GT,450,0,0
8500 GT,350,0,0
8400 GS,300,0,0
8300 GS,300,0,0
